Outcome, Balls, CalledStrikes, Whiffs, Fouls, EV, LA
Forceout, 0, 0, 0, 1, 100.0, -22
Strikeout, 2, 1, 2, 0, None, None
Forceout, 0, 0, 0, 0, 96.8, -21
Strikeout, 2, 1, 1, 4, None, None
Single, 1, 0, 1, 0, 102.1, 7
Fielders Choice, 1, 1, 0, 0, 96.4, -2
Groundout, 1, 2, 0, 0, 94.2, -25
Flyout, 1, 0, 1, 1, 78.0, 52
Single, 1, 1, 0, 0, 100.8, -6
Lineout, 1, 1, 0, 3, 55.1, 26
Strikeout, 0, 2, 0, 1, None, None
Single, 2, 1, 0, 0, 79.5, 14
Single, 2, 1, 0, 1, 81.5, -27
Flyout, 1, 1, 0, 0, 99.8, 26
Flyout, 0, 1, 0, 0, 91.0, 28
Single, 1, 1, 0, 0, None, None
Fielders Choice, 2, 1, 0, 2, 89.2, -24
Strikeout, 0, 1, 1, 2, None, None
Walk, 4, 0, 2, 2, None, None
Single, 2, 0, 0, 1, 88.8, 17
Walk, 4, 1, 0, 1, None, None
Strikeout, 3, 1, 2, 0, None, None
Groundout, 1, 1, 0, 0, None, None
Strikeout, 1, 2, 1, 0, None, None
Single, 2, 1, 0, 0, 92.3, -3
Lineout, 0, 0, 0, 0, 91.8, 20
Groundout, 2, 1, 0, 2, 100.0, -4
Groundout, 2, 0, 0, 0, None, None
Walk, 4, 0, 0, 0, None, None
Walk, 4, 1, 0, 0, None, None
Single, 1, 1, 0, 0, 105.3, 12
Strikeout, 0, 0, 2, 2, None, None
Groundout, 0, 1, 0, 0, 60.5, -8
Strikeout, 0, 2, 0, 1, None, None
Single, 0, 2, 0, 0, 35.3, -46
Groundout, 0, 1, 0, 0, None, None
Single, 1, 1, 1, 3, 74.8, 23
Hit By Pitch, 2, 1, 0, 0, None, None
Single, 0, 1, 1, 2, 72.7, 26
Groundout, 1, 2, 0, 0, 75.2, -5
Lineout, 3, 1, 0, 1, 108.7, 7
Pop Out, 1, 1, 1, 1, 72.3, 63
Flyout, 1, 2, 0, 0, 85.8, 29
Single, 0, 1, 0, 0, 84.9, 3
Flyout, 3, 0, 0, 3, 92.4, 27
Strikeout, 3, 3, 0, 2, None, None
Lineout, 0, 2, 0, 0, 79.2, 9
Groundout, 0, 1, 0, 1, 91.2, -1
Flyout, 2, 1, 0, 0, 84.4, 46
Single, 2, 1, 0, 1, 94.6, -25
Lineout, 0, 1, 0, 1, 88.9, 24
Groundout, 1, 1, 0, 0, 95.5, 5
Single, 0, 1, 0, 0, 84.2, 1
Walk, 4, 0, 0, 0, None, None
Groundout, 1, 1, 0, 0, 84.8, -11
Double, 0, 1, 0, 0, 102.3, 17
Strikeout, 3, 2, 0, 1, None, None
Groundout, 2, 1, 0, 0, 81.9, -28
Strikeout, 1, 2, 0, 2, None, None
Flyout, 2, 0, 0, 1, 90.7, 40
Strikeout, 1, 2, 1, 0, None, None
Lineout, 1, 0, 1, 0, 95.5, 24
Forceout, 0, 1, 0, 0, 93.8, -16
Strikeout, 0, 1, 2, 0, None, None
Groundout, 3, 1, 0, 1, 64.3, -38
Strikeout, 1, 2, 1, 1, None, None
Forceout, 0, 0, 0, 0, 86.5, -6
Single, 1, 1, 0, 0, None, None
Groundout, 0, 1, 0, 0, None, None
Groundout, 1, 1, 0, 0, 73.7, -38
Caught Stealing 2B, 2, 1, 0, 0, None, None
Flyout, 1, 1, 0, 0, 75.6, 26
Strikeout, 1, 1, 2, 0, None, None
Double, 2, 1, 0, 0, 94.0, -1
Triple, 0, 1, 0, 0, 101.9, 18
Groundout, 0, 1, 0, 0, 79.5, 3
Strikeout, 1, 2, 1, 0, None, None
Strikeout, 2, 1, 1, 4, None, None
Strikeout, 0, 1, 1, 1, None, None
Walk, 4, 1, 0, 0, None, None
Single, 2, 2, 0, 1, 74.2, 7
Walk, 4, 2, 0, 2, None, None
Walk, 4, 0, 0, 0, None, None
Single, 1, 2, 0, 0, 99.8, 10
Walk, 4, 1, 1, 0, None, None
GIDP, 1, 1, 1, 0, 101.2, 4
Flyout, 2, 1, 1, 0, 88.9, 38
Groundout, 0, 2, 0, 0, 87.0, -22
Single, 2, 1, 0, 3, 102.2, 12
Strikeout, 0, 2, 1, 0, None, None
Strikeout, 1, 2, 0, 4, None, None
Forceout, 0, 0, 0, 0, 102.4, 3
Groundout, 0, 0, 0, 0, 83.1, -17
Lineout, 0, 1, 0, 0, 80.4, 26
Groundout, 1, 1, 0, 1, 96.5, -7
Strikeout, 0, 2, 1, 0, None, None
Groundout, 0, 1, 0, 0, 96.3, 7
Single, 0, 1, 0, 0, 89.4, 15
Groundout, 2, 1, 0, 1, 102.5, -12
Strikeout, 0, 1, 2, 0, None, None
Flyout, 0, 1, 0, 0, 92.5, 25
Strikeout, 1, 3, 0, 0, None, None
Strikeout, 0, 1, 2, 0, None, None
Single, 1, 1, 0, 2, None, None
Lineout, 0, 1, 0, 1, 88.5, 11
Strikeout, 0, 1, 2, 0, None, None
Strikeout, 2, 1, 1, 1, None, None
Hit By Pitch, 1, 1, 1, 1, None, None
Groundout, 0, 0, 1, 0, None, None
Strikeout, 0, 1, 2, 1, None, None
Strikeout, 1, 1, 2, 0, None, None
Strikeout, 1, 2, 1, 0, None, None
Single, 0, 0, 0, 0, None, None
Groundout, 0, 0, 0, 1, 86.3, -20
Flyout, 0, 1, 0, 0, 96.0, 33
Strikeout, 0, 2, 1, 1, None, None
Strikeout, 2, 1, 1, 2, None, None
Groundout, 0, 1, 1, 1, 60.8, -38
Groundout, 1, 0, 0, 1, 74.3, -19
