EV, LA, Hits, Outs
113, 26, 1, 0
71, 29, 10, 1
90, 42, 1, 27
62, -20, 1, 7
103, -19, 2, 6
48, 45, 0, 2
106, -14, 4, 9
83, 39, 0, 22
96, -22, 8, 28
41, 42, 1, 1
55, -60, 0, 2
99, -17, 3, 20
85, 48, 0, 19
57, -14, 0, 1
48, -63, 0, 1
92, -20, 5, 23
59, 32, 1, 0
78, 45, 0, 15
97, 58, 0, 5
50, -17, 0, 1
69, -4, 2, 2
110, -3, 4, 10
85, -60, 0, 1
71, 42, 2, 3
30, 4, 1, 3
84, -19, 2, 13
29, 45, 0, 1
103, -6, 11, 33
48, 58, 0, 1
87, -14, 3, 14
59, -76, 0, 1
78, -63, 1, 0
105, 40, 3, 2
64, 2, 0, 9
77, -59, 0, 1
108, 45, 0, 1
66, 48, 0, 5
85, 61, 0, 16
38, -14, 0, 2
101, 5, 45, 31
73, -57, 0, 3
59, 45, 1, 1
18, 7, 0, 1
78, 58, 0, 12
91, -3, 9, 28
110, 10, 33, 3
75, -11, 0, 10
94, 2, 22, 25
66, -60, 0, 2
52, 5, 0, 1
84, -6, 2, 30
43, -44, 0, 1
54, 51, 0, 1
73, 64, 0, 4
45, 2, 0, 1
64, 15, 0, 4
58, -59, 0, 4
77, -46, 0, 4
61, -54, 1, 3
80, -41, 0, 6
66, 61, 0, 1
98, 13, 79, 8
82, 5, 12, 25
101, 18, 25, 33
54, -57, 1, 1
73, -44, 0, 7
100, 59, 0, 3
72, -40, 0, 5
75, 2, 0, 14
94, 15, 63, 12
61, 67, 0, 1
80, 80, 0, 4
52, 18, 0, 2
93, 19, 24, 29
65, -43, 0, 3
49, -51, 0, 3
68, -38, 1, 7
67, 3, 0, 8
86, 16, 24, 2
70, 8, 1, 12
58, -46, 1, 1
89, 21, 11, 19
61, -41, 1, 4
88, 62, 0, 11
47, 24, 0, 1
79, 13, 6, 9
65, 78, 0, 1
63, 5, 1, 6
82, 18, 39, 1
21, 8, 0, 1
95, -43, 0, 1
40, 21, 0, 1
53, -40, 2, 2
72, -27, 0, 5
56, -35, 0, 1
61, 80, 0, 1
88, -46, 0, 3
74, 19, 22, 1
93, 32, 6, 41
65, -30, 0, 5
51, 35, 0, 1
109, 13, 20, 7
68, -25, 0, 8
67, 16, 2, 6
86, 29, 1, 39
53, 81, 0, 1
70, 21, 14, 0
89, 34, 0, 34
83, -40, 0, 7
102, -27, 0, 2
47, 37, 0, 3
88, 75, 0, 1
60, -24, 0, 6
44, -32, 0, 1
63, 18, 0, 4
104, 19, 42, 29
62, 22, 2, 2
95, -30, 0, 11
81, 35, 0, 19
56, -22, 0, 2
97, -21, 5, 13
116, 29, 2, 0
83, 81, 0, 5
74, 32, 6, 16
32, 35, 0, 1
71, -37, 1, 4
90, -24, 1, 17
48, -21, 0, 1
92, 22, 15, 50
39, -70, 0, 1
111, 35, 1, 0
83, -27, 1, 11
69, 38, 5, 4
41, -24, 1, 0
60, -11, 0, 3
104, 32, 41, 5
62, 35, 1, 1
81, 48, 0, 10
37, -22, 1, 0
78, -21, 1, 17
97, -8, 14, 34
69, -70, 1, 0
96, 33, 22, 45
99, 38, 6, 25
71, -24, 0, 10
90, -11, 5, 31
76, 54, 0, 10
48, -8, 1, 0
92, 35, 1, 35
111, 48, 1, 0
64, -64, 0, 1
50, 38, 0, 1
69, 51, 0, 3
108, -21, 0, 2
66, -18, 1, 6
85, -5, 5, 19
38, -80, 0, 2
57, -67, 0, 1
84, 36, 0, 32
43, -1, 0, 1
103, 49, 0, 1
87, 41, 0, 34
59, -21, 1, 4
78, -8, 1, 28
64, 57, 0, 2
36, -5, 1, 0
96, 46, 0, 24
99, 51, 0, 9
52, -61, 1, 2
112, -10, 3, 4
57, 54, 0, 1
76, 67, 0, 6
115, -5, 0, 3
73, -2, 3, 18
73, -1, 4, 14
105, -13, 6, 9
64, -51, 2, 6
91, 52, 0, 13
31, 1, 0, 1
50, 51, 0, 1
108, -8, 5, 10
94, 57, 0, 15
66, -5, 1, 11
85, 8, 13, 23
84, 49, 0, 17
82, -61, 0, 1
87, 54, 0, 19
59, -8, 0, 4
100, -7, 9, 46
58, -4, 3, 8
77, 9, 8, 12
61, 1, 1, 4
80, 14, 23, 6
52, -48, 0, 3
112, 3, 5, 7
79, 55, 0, 12
115, 8, 2, 0
82, 60, 0, 10
54, -2, 0, 1
73, 11, 3, 10
114, 12, 3, 3
86, -50, 0, 1
75, 57, 0, 5
88, -4, 2, 22
47, -42, 0, 1
107, 9, 47, 5
79, -53, 1, 2
65, 12, 2, 7
63, -61, 0, 2
82, -48, 0, 2
68, 17, 7, 3
40, -45, 0, 2
100, 6, 55, 35
58, 9, 0, 1
77, 22, 22, 3
61, 14, 0, 5
80, 27, 3, 22
74, -47, 1, 8
93, -34, 0, 7
79, 68, 0, 1
51, -31, 0, 1
82, 73, 0, 1
54, 11, 0, 2
95, 12, 49, 8
114, 25, 1, 0
67, -50, 1, 3
86, -37, 2, 11
53, 15, 1, 1
72, 28, 12, 3
70, -45, 1, 2
89, -32, 0, 8
88, 9, 25, 14
107, 22, 32, 1
65, 25, 5, 0
63, -48, 0, 4
49, 17, 1, 0
68, 30, 8, 0
81, -31, 2, 11
67, 71, 0, 2
26, 33, 0, 1
86, 84, 0, 3
39, -28, 0, 1
70, 76, 0, 1
42, 14, 0, 1
83, 15, 23, 2
102, 28, 58, 20
74, -34, 1, 3
60, 31, 2, 1
93, -21, 0, 24
51, -18, 1, 2
95, 25, 12, 35
34, 15, 1, 0
53, 28, 1, 1
72, 41, 3, 10
69, -28, 0, 9
74, 87, 0, 3
113, 15, 3, 1
46, 25, 0, 4
60, -77, 0, 1
49, 30, 0, 2
90, 31, 5, 31
62, -31, 0, 7
81, -18, 3, 10
67, 84, 0, 2
83, 28, 1, 31
102, 41, 3, 20
96, -33, 1, 4
41, 31, 1, 0
60, 44, 0, 1
99, -28, 0, 3
76, -12, 1, 18
92, -31, 0, 5
78, 34, 0, 17
97, 47, 0, 18
50, -28, 0, 2
69, -15, 0, 10
55, 50, 0, 1
85, -71, 1, 0
71, 31, 9, 6
90, 44, 0, 41
29, 34, 0, 2
103, -17, 4, 6
106, -12, 3, 19
105, 29, 24, 4
64, -9, 0, 3
108, 34, 11, 2
96, -20, 4, 25
55, -58, 0, 1
99, -15, 7, 25
85, 50, 1, 16
57, -12, 1, 1
76, 1, 3, 17
59, 34, 0, 1
78, 47, 0, 22
97, 60, 0, 4
91, -14, 4, 29
55, 63, 0, 1
94, -9, 19, 34
71, 44, 5, 10
30, 6, 0, 1
84, -17, 2, 21
29, 47, 0, 1
103, -4, 23, 29
87, -12, 3, 22
106, 1, 38, 27
45, -9, 0, 1
64, 4, 2, 4
105, 42, 0, 2
77, -57, 0, 1
80, -52, 0, 3
66, 50, 0, 7
85, 63, 0, 7
57, 1, 0, 1
98, 2, 30, 34
101, 7, 41, 27
54, -68, 0, 1
73, -55, 1, 1
59, 47, 0, 2
100, 48, 0, 10
110, 12, 23, 5
77, 64, 0, 2
75, -9, 0, 11
94, 4, 23, 32
66, -58, 0, 1
65, -54, 0, 4
68, -49, 0, 5
87, 1, 6, 27
73, 66, 1, 1
45, 4, 0, 1
86, 5, 19, 20
58, -57, 1, 1
89, 10, 15, 16
77, -44, 0, 4
42, -65, 0, 1
61, -52, 0, 2
80, -39, 0, 8
66, 63, 0, 2
79, 2, 2, 13
98, 15, 45, 24
63, -6, 0, 2
82, 7, 11, 18
101, 20, 23, 33
54, -55, 0, 1
72, -38, 0, 8
77, 77, 0, 3
75, 4, 2, 15
116, 5, 0, 1
80, 82, 0, 3
33, 7, 0, 1
52, 20, 0, 2
93, 21, 21, 39
65, -41, 0, 9
51, 24, 0, 2
49, -49, 1, 2
109, 2, 16, 13
68, -36, 2, 7
54, 66, 0, 1
67, 5, 1, 9
86, 18, 36, 6
72, 83, 0, 4
58, -44, 1, 3
70, 10, 5, 12
89, 23, 3, 35
42, -52, 0, 2
61, -39, 0, 8
28, 13, 0, 1
88, 64, 0, 3
60, -35, 0, 5
79, 15, 17, 6
65, 80, 0, 2
63, 7, 0, 6
82, 20, 23, 4
40, 23, 0, 1
81, 24, 7, 20
72, -25, 1, 7
56, -33, 0, 3
61, 82, 0, 3
88, -44, 0, 2
74, 21, 20, 0
93, 34, 4, 40
46, -41, 1, 1
49, -36, 0, 3
90, -35, 0, 6
67, 18, 4, 8
70, 23, 14, 0
111, 24, 8, 0
83, -38, 0, 8
102, -25, 0, 4
47, 39, 0, 3
88, 77, 0, 4
60, -22, 0, 3
44, -30, 1, 2
104, 21, 64, 14
62, 24, 3, 3
81, 37, 0, 23
34, -38, 0, 1
53, -25, 0, 3
56, -20, 0, 1
97, -19, 5, 23
83, 83, 0, 3
69, -81, 1, 0
55, -16, 0, 3
74, 34, 2, 17
71, -35, 1, 6
90, -22, 0, 28
76, 43, 1, 16
92, 24, 9, 43
111, 37, 1, 0
83, -25, 3, 8
50, 27, 0, 3
