Outcome, Balls, Called_Strikes, Whiffs, Fouls, EV, LA, Sprint_Speed
Single, 0, 0, 0, 1, 83.9, -3, 28.7
Groundout, 2, 0, 0, 1, 97.8, -18, 28.7
Flyout, 1, 1, 0, 0, 101.2, 26, 28.7
Double, 0, 0, 0, 0, 97.6, 3, 28.7
Single, 2, 1, 0, 2, 101.3, -3, 28.7
Flyout, 2, 1, 0, 0, 88.0, 38, 28.7
Flyout, 0, 2, 0, 0, 88.2, 34, 28.7
Strikeout, 0, 1, 1, 1, None, None, 28.7
Groundout, 1, 1, 1, 0, 86.3, -59, 28.7
Groundout, 0, 2, 0, 0, 79.8, -35, 28.7
Single, 2, 1, 0, 2, 74.4, -9, 28.7
Single, 3, 2, 0, 0, 95.1, 9, 28.7
GIDP, 0, 0, 0, 0, 59.7, -35, 28.7
Sac Fly, 1, 1, 1, 0, 86.4, 43, 28.7
Groundout, 1, 1, 0, 0, 101.7, -4, 28.7
Strikeout, 1, 2, 1, 0, None, None, 28.7
Strikeout, 2, 1, 0, 3, None, None, 28.7
Single, 0, 2, 0, 0, 97.3, -8, 28.7
Single, 1, 1, 0, 0, 99.2, 9, 28.7
Groundout, 1, 1, 0, 1, 54.8, -66, 28.7
Field Error, 2, 0, 1, 1, 90.5, 31, 28.7
Sac Fly, 1, 0, 0, 1, 86.9, 30, 28.7
Fielders Choice Out, 1, 1, 0, 0, 84.3, -2, 28.7
Strikeout, 1, 2, 1, 0, None, None, 28.7
Walk, 4, 2, 0, 2, None, None, 28.7
Walk, 4, 1, 0, 0, None, None, 28.7
Groundout, 2, 1, 0, 2, 95.4, -8, 28.7
Forceout, 2, 0, 0, 0, 88.4, -55, 28.7
Lineout, 2, 1, 0, 0, 101.2, 18, 28.7
Strikeout, 1, 0, 1, 0, None, None, 28.7
Forceout, 2, 0, 2, 0, 70.0, 8, 28.7
Walk, 4, 0, 0, 0, None, None, 28.7
Groundout, 2, 2, 0, 4, 94.1, -7, 28.7
Flyout, 1, 1, 0, 1, 77.0, 47, 28.7
Groundout, 3, 0, 0, 1, 96.1, 2, 28.7
Strikeout, 1, 2, 1, 2, None, None, 28.7
Lineout, 1, 2, 0, 1, 97.5, 16, 28.7
Pop Out, 1, 1, 0, 0, 84.0, 70, 28.7
Groundout, 3, 2, 0, 0, 64.4, -21, 28.7
Strikeout, 0, 1, 1, 1, None, None, 28.7
Single, 0, 0, 0, 0, 100.4, 4, 28.7
Single, 0, 0, 0, 0, 84.0, 11, 28.7
Flyout, 1, 0, 1, 0, 82.8, 29, 28.7
Single, 2, 1, 0, 0, 70.8, -48, 28.7
Strikeout, 2, 2, 1, 1, None, None, 28.7
Double, 0, 0, 0, 0, 104.2, 6, 28.7
Groundout, 0, 1, 0, 0, 72.4, 3, 28.7
Lineout, 1, 0, 0, 0, 97.9, 18, 28.7
Walk, 4, 1, 0, 0, None, None, 28.7
Groundout, 1, 2, 0, 0, 82.4, -18, 28.7
Walk, 4, 1, 0, 2, None, None, 28.7
Strikeout, 2, 2, 1, 0, None, None, 28.7
Lineout, 1, 0, 0, 0, 103.8, 18, 28.7
Groundout, 1, 1, 1, 0, 84.6, -14, 28.7
Strikeout, 1, 1, 1, 2, None, None, 28.7
Groundout, 2, 2, 0, 0, 97.8, -2, 28.7
Lineout, 3, 2, 0, 7, 100.4, 13, 28.7
Lineout, 0, 1, 0, 1, 93.4, 20, 28.7
Strikeout, 0, 2, 1, 0, None, None, 28.7
Single, 0, 0, 0, 0, 84.0, 11, 28.7
Hit By Pitch, 0, 1, 1, 1, None, None, 28.7
Strikeout, 2, 0, 1, 6, None, None, 28.7
Lineout, 0, 0, 0, 0, 98.5, 7, 28.7
Pop Out, 2, 1, 0, 2, 72.3, 70, 28.7
Single, 0, 1, 0, 0, 93.5, 13, 28.7
Walk, 4, 1, 0, 0, None, None, 28.7
Strikeout, 1, 1, 1, 1, None, None, 28.7
Walk, 4, 1, 0, 0, None, None, 28.7
Lineout, 1, 0, 0, 0, 95.0, 20, 28.7
Single, 3, 2, 0, 0, 101.1, 7, 28.7
Field Error, 1, 1, 0, 0, 73.7, -18, 28.7
Hit By Pitch, 2, 1, 0, 1, None, None, 28.7
Strikeout, 2, 2, 1, 0, None, None, 28.7
GIDP, 1, 0, 0, 3, 80.0, -20, 28.7
