EV, LA, Hits, Outs
0, -90, 8.0, 51.0
1, -90, 5.0, 45.0
2, -90, 5.0, 46.0
3, -90, 5.0, 51.0
4, -90, 6.0, 57.0
5, -90, 7.0, 53.0
6, -90, 5.0, 56.0
7, -90, 5.0, 50.0
8, -90, 5.0, 47.0
9, -90, 5.0, 45.0
10, -90, 5.0, 45.0
11, -90, 5.0, 56.0
12, -90, 4.0, 51.0
13, -90, 4.0, 57.0
14, -90, 3.0, 55.0
15, -90, 4.0, 48.0
16, -90, 3.0, 55.0
17, -90, 6.0, 59.0
18, -90, 4.0, 48.0
19, -90, 5.0, 54.0
20, -90, 4.0, 53.0
21, -90, 4.0, 52.0
22, -90, 5.0, 64.0
23, -90, 2.0, 57.0
24, -90, 0.0, 53.0
25, -90, 0.0, 56.0
26, -90, 0.0, 68.0
27, -90, 0.0, 58.0
28, -90, 1.0, 61.0
29, -90, 1.0, 56.0
30, -90, 2.0, 57.0
31, -90, 1.0, 49.0
32, -90, 1.0, 59.0
33, -90, 1.0, 54.0
34, -90, 2.0, 60.0
35, -90, 4.0, 74.0
36, -90, 3.0, 47.0
37, -90, 2.0, 55.0
38, -90, 2.0, 67.0
39, -90, 2.0, 66.0
40, -90, 2.0, 64.0
41, -90, 3.0, 73.0
42, -90, 1.0, 57.0
43, -90, 4.0, 63.0
44, -90, 2.0, 63.0
45, -90, 2.0, 68.0
46, -90, 2.0, 71.0
47, -90, 1.0, 49.0
48, -90, 1.0, 50.0
49, -90, 2.0, 48.0
50, -90, 2.0, 54.0
51, -90, 2.0, 53.0
52, -90, 2.0, 55.0
53, -90, 3.0, 55.0
54, -90, 4.0, 50.0
55, -90, 4.0, 48.0
56, -90, 5.0, 50.0
57, -90, 8.0, 68.0
58, -90, 7.0, 65.0
59, -90, 8.0, 58.0
60, -90, 8.0, 59.0
61, -90, 7.0, 51.0
62, -90, 9.0, 56.0
63, -90, 5.0, 49.0
64, -90, 5.0, 48.0
65, -90, 8.0, 59.0
66, -90, 10.0, 54.0
67, -90, 9.0, 44.0
68, -90, 9.0, 43.0
69, -90, 10.0, 51.0
70, -90, 10.0, 47.0
71, -90, 11.0, 42.0
72, -90, 6.0, 48.0
73, -90, 10.0, 56.0
74, -90, 8.0, 54.0
75, -90, 6.0, 47.0
76, -90, 6.0, 61.0
77, -90, 5.0, 53.0
78, -90, 7.0, 58.0
79, -90, 5.0, 50.0
80, -90, 5.0, 48.0
81, -90, 6.0, 61.0
82, -90, 5.0, 47.0
83, -90, 11.0, 53.0
84, -90, 8.0, 47.0
85, -90, 12.0, 54.0
86, -90, 9.0, 49.0
87, -90, 9.0, 48.0
88, -90, 9.0, 43.0
89, -90, 8.0, 44.0
90, -90, 14.0, 48.0
