EV, LA, Hits, Outs
0, -89, 3.0, 48.0
1, -89, 3.0, 55.0
2, -89, 3.0, 51.0
3, -89, 3.0, 53.0
4, -89, 3.0, 52.0
5, -89, 4.0, 51.0
6, -89, 4.0, 60.0
7, -89, 4.0, 61.0
8, -89, 4.0, 62.0
9, -89, 2.0, 61.0
10, -89, 2.0, 49.0
11, -89, 1.0, 55.0
12, -89, 2.0, 59.0
13, -89, 2.0, 55.0
14, -89, 2.0, 51.0
15, -89, 3.0, 51.0
16, -89, 4.0, 54.0
17, -89, 4.0, 49.0
18, -89, 7.0, 60.0
19, -89, 3.0, 48.0
20, -89, 3.0, 52.0
21, -89, 4.0, 62.0
22, -89, 4.0, 52.0
23, -89, 5.0, 55.0
24, -89, 5.0, 50.0
25, -89, 5.0, 56.0
26, -89, 2.0, 50.0
27, -89, 3.0, 57.0
28, -89, 3.0, 56.0
29, -89, 2.0, 62.0
30, -89, 2.0, 52.0
31, -89, 3.0, 53.0
32, -89, 1.0, 50.0
33, -89, 1.0, 50.0
34, -89, 1.0, 50.0
35, -89, 1.0, 61.0
36, -89, 1.0, 64.0
37, -89, 1.0, 72.0
38, -89, 1.0, 53.0
39, -89, 1.0, 61.0
40, -89, 1.0, 58.0
41, -89, 5.0, 61.0
42, -89, 2.0, 54.0
43, -89, 4.0, 55.0
44, -89, 5.0, 45.0
45, -89, 4.0, 50.0
46, -89, 5.0, 53.0
47, -89, 4.0, 60.0
48, -89, 5.0, 51.0
49, -89, 5.0, 56.0
50, -89, 6.0, 57.0
51, -89, 7.0, 57.0
52, -89, 8.0, 56.0
53, -89, 7.0, 55.0
54, -89, 8.0, 54.0
55, -89, 8.0, 60.0
56, -89, 10.0, 52.0
57, -89, 6.0, 47.0
58, -89, 6.0, 44.0
59, -89, 8.0, 51.0
60, -89, 8.0, 47.0
61, -89, 7.0, 44.0
62, -89, 6.0, 44.0
63, -89, 7.0, 62.0
64, -89, 7.0, 55.0
65, -89, 7.0, 55.0
66, -89, 6.0, 46.0
67, -89, 5.0, 49.0
