Colon, Bartolo,112526,2016,65,5,2,2,0,1,61.5,1.5,.083,.071,42.7,44.4,,22.4
Ortiz, David,120074,2016,626,169,82,48,1,38,13.7,12.8,.315,.312,19.3,43.5,4.75,23.6
Rodriguez, Alex,121347,2016,243,45,29,7,0,9,27.6,5.8,.200,.217,29.6,49.1,4.79,23.9
Beltré, Adrian,134181,2016,640,175,111,31,1,32,10.3,7.5,.300,.290,15.2,48.7,4.53,25.9
Beltrán, Carlos,136860,2016,593,163,101,33,0,29,17,5.9,.295,.268,19.6,45.6,4.46,25.7
Werth, Jayson,150029,2016,606,128,79,28,0,21,22.9,11.7,.244,.247,20.9,38.1,4.61,25.8
Pierzynski, A.J.,150229,2016,259,54,37,15,0,2,11.2,2.3,.219,.247,18.3,59,4.65,24.5
Rollins, Jimmy,276519,2016,166,33,22,8,1,2,19.9,9.6,.221,.204,21.6,44.3,4.28,26.9
Vogelsong, Ryan,285064,2016,23,1,1,0,0,0,56.5,4.3,.053,.091,22,47.7,,
Uribe, Juan,346874,2016,259,49,33,9,0,7,18.9,5.8,.206,.265,21.1,52.8,4.65,25.5
Suzuki, Ichiro,400085,2016,365,95,74,15,5,1,11.5,8.2,.291,.264,15.7,44,3.99,27.8
Martinez, Victor,400121,2016,610,160,111,22,0,27,14.8,8.2,.289,.286,17.2,46.4,4.76,22.6
Utley, Chase,400284,2016,565,129,86,26,3,14,20.4,7.1,.252,.259,18.8,40.2,4.28,27.4
Pujols, Albert,405395,2016,650,159,109,19,0,31,11.5,7.5,.268,.285,15.7,45.8,5.02,22.6
Byrd, Marlon,407781,2016,129,31,20,6,0,5,29.5,8.5,.270,.243,34.2,56.7,4.41,26.8
Lackey, John,407793,2016,69,6,4,2,0,0,44.9,2.9,.095,.125,28.8,50.2,,21.7
Holliday, Matt,407812,2016,426,94,53,20,1,20,16.7,8.2,.246,.264,20.8,48.3,4.5,25.9
De La Rosa, Jorge,407822,2016,42,7,7,0,0,0,33.3,4.8,.184,.155,32.7,56.3,,22.9
Teixeira, Mark,407893,2016,438,79,48,16,0,15,24,10.7,.204,.221,23.2,42.6,4.73,24.5
Mauer, Joe,408045,2016,576,129,92,22,4,11,16.1,13.7,.261,.281,15.3,35.5,4.48,26.4
Morneau, Justin,408047,2016,218,53,32,14,1,6,23.9,5.5,.261,.238,24.9,55.2,4.54,25.1
Cabrera, Miguel,408234,2016,679,188,118,31,1,38,17.1,11,.316,.332,22.5,48.7,4.86,24.4
González, Adrián,408236,2016,633,162,113,31,0,18,18.5,8.7,.285,.271,22.9,48.1,4.8,24.1
Peavy, Jake,408241,2016,31,5,5,0,0,0,38.7,6.5,.185,.177,24.5,43.4,,24.6
Phillips, Brandon,408252,2016,584,160,114,34,1,11,11.6,3.1,.291,.262,19,57.6,4.66,26.0
Infante, Omar,408299,2016,149,32,22,9,1,0,15.4,6,.239,.260,23.3,48.1,4.27,27.8
Crawford, Carl,408307,2016,87,15,12,2,1,0,12.6,4.6,.185,.214,20.4,52.4,4.3,27.5
Reyes, José,408314,2016,279,68,43,13,4,8,17.6,8.2,.267,.245,20,45.4,4.19,27.7
Ross, David,424325,2016,205,38,22,6,0,10,26.3,14.6,.229,.226,30.3,46.5,4.66,25.5
Crisp, Coco,424825,2016,498,103,59,27,4,13,15.7,9.2,.231,.243,18.2,42.8,4.29,28.2
Peralta, Jhonny,425509,2016,313,75,49,17,1,8,17.9,6.4,.260,.254,20.4,46.2,4.65,26.1
Loney, James,425766,2016,366,91,65,16,1,9,10.1,4.4,.265,.271,11.7,50.6,4.81,24.6
Mathis, Jeff,425772,2016,132,30,23,4,1,2,27.3,3,.238,.211,30.6,52.6,4.67,25.5
Choo, Shin-Soo,425783,2016,210,43,29,7,0,7,21.9,11.9,.242,.275,22.6,38.7,4.47,25.5
Rivera, René,425784,2016,207,41,31,4,0,6,26.1,7.7,.222,.226,28.3,52,4.86,24.7
Wainwright, Adam,425794,2016,69,13,3,7,1,2,24.6,2.9,.210,.243,26.7,57.7,,24.4
Francoeur, Jeff,425796,2016,331,78,55,15,1,7,27.2,6,.254,.236,31.9,56.4,4.6,26.2
Upton Jr., B.J.,425834,2016,538,117,79,15,3,20,28.8,6.9,.238,.231,34.6,50.2,4.39,28.2
Greinke, Zack,425844,2016,60,11,10,1,0,0,15,5,.212,.251,22,54.2,,22.9
Molina, Yadier,425877,2016,581,164,117,38,1,8,10.8,6.7,.307,.281,15.2,53.3,4.81,23.8
Navarro, Dioner,425900,2016,334,63,42,13,2,6,21.3,6.9,.207,.199,23.3,45.1,4.96,23.2
Fielder, Prince,425902,2016,370,69,45,16,0,8,17,8.6,.212,.247,24.9,44.7,4.87,24.3
Canó, Robinson,429664,2016,715,195,121,33,2,39,14,6.6,.298,.283,17.3,50.8,4.61,24.8
Encarnación, Edwin,429665,2016,701,158,82,34,0,42,19.7,12.4,.263,.263,23.6,42.4,4.68,25.3
Hardy, J.J.,429666,2016,438,109,71,29,0,9,15.5,5.9,.269,.255,15.1,36.3,4.63,26.1
Howard, Ryan,429667,2016,362,65,30,10,0,25,31.5,7.5,.196,.243,34.3,55,4.89,23.2
Gutierrez, Franklin,429711,2016,283,61,38,9,0,14,30,10.2,.246,.252,32.8,41.9,4.8,25.1
Jackson, Edwin,429719,2016,27,5,4,1,0,0,40.7,11.1,.217,.164,34,44.2,,26.7
Weeks Jr., Rickie,430001,2016,205,43,24,9,1,9,26.3,9.8,.239,.269,30.9,41.5,4.3,27.7
Simon, Alfredo,430580,2016,19,1,1,0,0,0,36.8,5.3,.071,.065,20.6,59.6,,23.8
Kelly, Don,430603,2016,30,4,2,0,2,0,16.7,6.7,.148,.208,9.4,46.5,,27.3
Raburn, Ryan,430605,2016,256,49,28,10,2,9,31.3,10.9,.220,.192,32,45.9,4.56,26.8
Johnson, Kelly,430637,2016,333,75,51,14,0,10,19.5,7.5,.247,.261,21.7,47.4,4.4,26.9
Bautista, José,430832,2016,517,99,52,24,1,22,19.9,16.8,.234,.252,21.2,36.7,4.78,25.3
Peña, Brayan,430910,2016,14,2,1,1,0,0,14.3,7.1,.154,.188,25,51.3,,23.7
Cain, Matt,430912,2016,28,2,0,1,0,1,60.7,0,.074,.069,52.2,47.9,,
Jones, Adam,430945,2016,672,164,116,19,0,29,17.1,5.8,.265,.260,26.1,60.4,4.4,28.0
Aybar, Erick,430947,2016,459,101,77,19,2,3,15.3,6.8,.243,.225,15.5,50.3,4.26,27.8
Hill, Aaron,431094,2016,427,99,75,14,0,10,13.8,9.6,.262,.262,16.7,42.3,4.33,27.3
Martin, Russell,431145,2016,535,105,69,16,0,20,27.7,12,.231,.224,29.9,39,4.74,25.4
Kazmir, Scott,431148,2016,50,5,5,0,0,0,48,2,.116,.065,23.2,54,,24.8
Wright, David,431151,2016,163,31,16,8,0,7,33.7,16,.226,.239,36.5,38.2,,25.2
McGehee, Casey,431171,2016,96,21,20,1,0,0,14.6,3.1,.228,.245,15.3,48.9,4.6,26.3
Blanco, Andrés,433217,2016,209,48,28,15,1,4,19.6,5.3,.253,.244,26.6,53.1,4.48,26.4
Granderson, Curtis,434158,2016,633,129,70,24,5,30,20.5,11.7,.237,.245,22,36.5,4.25,27.3
Liriano, Francisco,434538,2016,42,12,10,1,0,1,38.1,0,.286,.216,32.9,57.6,,20.4
Ruiz, Carlos,434563,2016,233,53,42,8,0,3,14.2,11.6,.264,.268,13.2,36.6,4.63,25.9
Soto, Geovany,434567,2016,86,21,12,5,0,4,24.4,7,.269,.298,27.1,44,4.7,25.9
Hammel, Jason,434628,2016,69,16,13,3,0,0,34.8,1.4,.246,.182,30.8,58.6,4.85,25.3
Pagán, Ángel,434636,2016,541,137,96,24,5,12,12.2,7.8,.277,.285,11.6,40.7,4.17,27.7
Davis, Rajai,434658,2016,495,113,76,23,2,12,21.4,6.7,.249,.235,23.7,52.1,4.1,28.9
Ramirez, Hanley,434670,2016,620,157,98,28,1,30,19.4,9.7,.286,.262,23.9,46.4,4.46,26.8
