last_name, first_name,player_id,year,pa,walk,k_percent,batting_avg,xba,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
Pujols, Albert,405395,2022,351,28,15.7,.270,.262,91.2,34.5,12,47.3,102.064436899,95.425491822,21.3,48.2
Cabrera, Miguel,408234,2022,433,28,23.3,.254,.234,89.9,35.2,4.7,38.2,99.360961867,93.99969786,27,50.2
Molina, Yadier,425877,2022,270,5,14.8,.214,.230,84.7,34.1,3.1,26,95.0195225,91.560423363,22,58.6
Canó, Robinson,429664,2022,104,4,24,.150,.209,88.2,29.3,4,41.3,100.261988108,94.247323243,24.9,56.8
Suzuki, Kurt,435559,2022,159,15,18.2,.180,.191,85.2,31,3.5,26.5,95.157941429,91.58600375,21.1,48.1
Cruz Jr., Nelson,443558,2022,507,49,23.5,.234,.241,90.9,28,9.3,46.1,102.29838061,95.468978262,32,50.8
Peralta, David,444482,2022,490,41,23.3,.251,.249,90.3,35,8.5,44.4,101.233296566,94.9223429,26.2,50.4
Escobar, Alcides,444876,2022,131,5,24.4,.218,.210,81.8,39.1,1.1,17.4,92.492630217,90.550370549,21.3,54.3
Longoria, Evan,446334,2022,298,27,27.9,.244,.233,91.1,33.3,12.4,46.8,101.592486559,95.291511667,29.4,44.4
Blackmon, Charlie,453568,2022,577,32,18.9,.264,.256,86.2,36.7,4.4,30.6,97.426435333,92.732128429,21.4,51.5
Maldonado, Martín,455117,2022,379,22,30.6,.186,.181,88.4,31.6,8.1,40.2,98.987733509,93.59831443,32.2,49.9
Chirinos, Robinson,455139,2022,220,19,30.5,.179,.168,84.8,30.8,6.9,33.1,97.472003281,92.774084488,33.3,50.3
Cain, Lorenzo,456715,2022,156,8,23.1,.179,.200,87.9,21.8,0,36.4,99.010785455,93.632816636,25.8,53
Solano, Donovan,456781,2022,304,19,20.1,.284,.268,88.3,36.1,5.9,41.2,98.956029815,93.601690602,20.9,49.5
McCutchen, Andrew,457705,2022,580,57,21.4,.237,.252,89.1,36.2,8.6,40,99.92693269,94.143160838,24.2,44.9
Upton, Justin,457708,2022,57,6,40.4,.125,.157,88.5,36,4,32,99.128878333,93.64988375,37.5,45.4
Turner, Justin,457759,2022,532,50,16.7,.278,.267,89.5,40.6,8,40.6,99.002545648,93.736858523,20.3,48.2
Votto, Joey,458015,2022,376,44,25.8,.205,.218,89.7,32.9,11.1,41.3,100.424827857,94.43276435,29.6,46.5
Andrus, Elvis,462101,2022,577,39,15.9,.249,.245,87.9,29.1,4.5,34.8,98.336003699,93.236647643,21.4,45.6
Santana, Carlos,467793,2022,506,71,17.4,.202,.253,90.7,31.6,9.3,44.9,100.993708488,94.851060233,21.3,42.6
Belt, Brandon,474832,2022,298,37,27.2,.213,.215,88.4,38.5,12.6,38.5,99.264489048,93.872087679,32.4,47.1
Lowrie, Jed,476704,2022,184,15,21.2,.180,.197,86.2,26.9,3.1,30.8,96.195900923,92.129717519,25.6,47.3
Brantley Jr., Michael,488726,2022,277,31,10.8,.288,.310,89.8,39.5,6,45.1,99.739801321,94.323002844,12.7,41.5
Castro, Jason,488771,2022,88,8,45.5,.115,.161,88.6,35.9,5.1,35.9,98.6215215,93.447724615,42.4,48
Gurriel, Yuli,493329,2022,584,30,12.5,.242,.240,88.2,30.3,1.9,35.6,98.291200127,93.270425297,14.3,48.5
Rojas, Miguel,500743,2022,507,26,12,.236,.264,86.1,33.1,1.9,27.1,96.249960631,92.126001845,15.5,47.9
Escobar, Eduardo,500871,2022,542,40,23.8,.240,.243,88.3,38.7,9.4,37.6,99.290072903,93.799689784,27.7,52.4
Adrianza, Ehire,501303,2022,110,11,22.7,.175,.222,84.6,30.1,1.4,21.9,94.938734722,91.55813831,22.2,44.8
Lagares, Juan,501571,2022,62,2,24.2,.183,.216,88.4,40,2.2,40,98.693379565,93.50569,27.6,52.7
Pham, Tommy,502054,2022,622,56,26.8,.236,.238,92.2,33.2,7.9,48.5,102.514437436,95.778101436,26,42
Martinez, J.D.,502110,2022,596,52,24.3,.274,.260,89.1,42,12.5,41.7,100.92394699,94.707836352,30.1,51.9
Goldschmidt, Paul,502671,2022,651,79,21.7,.317,.261,90.8,31.8,11.6,47.4,102.244608246,95.440152299,26.8,41.7
