last_name, first_name,player_id,year,pa,hit,single,double,triple,home_run,k_percent,bb_percent,batting_avg,xba,whiff_percent,swing_percent,hp_to_1b,sprint_speed
Cabrera, Miguel,408234,2023,370,86,62,20,0,4,20,8.4,.257,.247,25.6,48.3,5.09,23.1
Cruz Jr., Nelson,443558,2023,152,35,24,5,1,5,30.3,3.9,.245,.242,36.1,52.3,4.91,24.7
Peralta, David,444482,2023,422,102,69,25,1,7,17.1,4.7,.259,.274,22.5,54.5,4.52,27.0
Piña, Manny,444489,2023,12,3,2,0,0,1,25,0,.250,.238,12.5,51.1,,24.0
Longoria, Evan,446334,2023,237,47,27,9,0,11,30.8,9.7,.223,.230,29,42.8,4.76,26.2
Blackmon, Charlie,453568,2023,413,100,63,24,5,8,13.3,9.4,.279,.269,19.6,47.3,4.4,27.6
Maldonado, Martín,455117,2023,407,69,42,12,0,15,34.2,7.4,.191,.187,34.1,49.6,5.05,23.2
Solano, Donovan,456781,2023,450,111,79,26,1,5,22.2,8.9,.282,.284,25.4,47.4,4.75,25.4
McCutchen, Andrew,457705,2023,473,100,69,19,0,12,21.1,15.9,.256,.257,27.4,41.6,4.44,28.4
Turner, Justin,457759,2023,626,154,100,31,0,23,17.6,8.1,.276,.260,17.5,45,4.83,25.2
Votto, Joey,458015,2023,242,42,22,6,0,14,25.6,11.2,.202,.189,30.8,47.8,4.73,25.6
Andrus, Elvis,462101,2023,406,94,67,20,1,6,17.5,6.2,.251,.231,20,45,4.57,26.5
Santana, Carlos,467793,2023,619,132,75,33,1,23,16.8,10.5,.240,.240,22.1,45.3,4.59,25.9
Belt, Brandon,474832,2023,404,86,44,23,0,19,34.9,15.1,.254,.212,32.3,41,4.6,26.2
Brantley Jr., Michael,488726,2023,57,15,11,2,0,2,3.5,3.5,.278,.277,8,40,4.68,25.4
Gurriel, Yuli,493329,2023,329,73,50,16,3,4,13.4,7.9,.245,.237,16,46.8,4.47,27.2
Rojas, Miguel,500743,2023,423,91,69,16,1,5,11.3,6.1,.236,.252,16.5,49.6,4.57,26.4
Escobar, Eduardo,500871,2023,309,65,48,6,5,6,25.2,5.8,.226,.203,28.1,50.6,4.4,27.1
Adrianza, Ehire,501303,2023,11,0,0,0,0,0,36.4,9.1,.000,.115,16.7,45.3,,
Almonte, Abraham,501659,2023,16,1,0,1,0,0,50,6.3,.067,.144,37.5,58.8,,26.5
Pham, Tommy,502054,2023,481,109,63,27,3,16,22,9.8,.256,.284,23.6,40.5,4.52,27.8
Martinez, J.D.,502110,2023,479,117,55,27,2,33,31.1,7.1,.271,.271,34.4,53,4.7,26.1
Goldschmidt, Paul,502671,2023,687,159,103,31,0,25,23.4,12.7,.268,.271,27.5,44,4.58,26.4
León, Sandy,506702,2023,44,6,4,2,0,0,45.5,2.3,.146,.136,24.7,45.1,,22.7
Altuve, Jose,514888,2023,410,112,72,21,2,17,17.3,10.7,.311,.245,18.7,45.1,4.32,26.9
Segura, Jean,516416,2023,326,66,56,5,2,3,14.4,6.7,.219,.239,19.2,50.5,4.35,27.4
Marte, Starling,516782,2023,341,78,65,7,1,5,20.2,4.7,.248,.261,27.4,53.8,4.37,27.1
d'Arnaud, Travis,518595,2023,292,60,36,13,0,11,22.9,7.2,.225,.253,28.6,52,4.72,26.1
Donaldson, Josh,518626,2023,189,25,7,5,0,13,26.5,11.6,.152,.203,26.7,44.8,4.79,24.9
Freeman, Freddie,518692,2023,730,211,121,59,2,29,16.6,9.9,.331,.323,20.4,51,4.53,26.7
Grandal, Yasmani,518735,2023,405,85,63,14,0,8,21.2,8.9,.234,.222,24.9,44.7,5.14,22.8
Heyward, Jason,518792,2023,377,90,52,23,0,15,17,9,.269,.250,20.7,47,4.45,27.1
LeMahieu, DJ,518934,2023,562,121,81,22,3,15,22.2,10.7,.243,.255,19.7,39.2,4.83,25.7
Moustakas, Mike,519058,2023,386,87,60,15,0,12,24.6,6,.247,.217,27.3,53.2,4.8,25.2
Rizzo, Anthony,519203,2023,421,91,65,14,0,12,23,8.3,.244,.246,25,48.4,4.77,24.7
Stanton, Giancarlo,519317,2023,415,71,34,13,0,24,29.9,9.9,.191,.219,34.1,42.5,5.02,24.4
Perez, Salvador,521692,2023,580,137,93,21,0,23,23.3,3.3,.255,.266,30.2,60.2,4.93,24.3
Flores, Wilmer,527038,2023,454,115,70,22,0,23,13.9,9,.284,.256,15.8,44.9,4.9,24.4
García, Avisaíl,541645,2023,118,20,13,3,1,3,33.1,5.1,.185,.224,37.3,54.1,4.52,28.3
Bethancourt, Christian,542194,2023,332,71,44,16,0,11,27.4,3.9,.225,.215,36.6,59.6,4.51,27.4
Pérez, Carlos,542208,2023,189,38,28,4,0,6,21.2,6.9,.226,.258,21.5,46.1,4.82,24.6
Ozuna, Marcell,542303,2023,592,145,75,29,1,40,22.6,9.6,.274,.280,26.7,48.4,4.74,26.4
Ortega, Rafael,542364,2023,136,25,21,3,0,1,24.3,14.7,.219,.211,22.3,43.1,4.49,27.2
Aguilar, Jesús,542583,2023,115,23,16,2,0,5,27,7,.221,.188,23.9,46.7,,23.0
Berti, Jon,542932,2023,424,114,88,16,3,7,18.2,6.8,.294,.281,19.8,45.5,4.3,29.3
Crawford, Brandon,543063,2023,320,55,36,11,1,7,25.3,8.8,.194,.219,29.6,52.2,4.53,25.8
Cron, C.J.,543068,2023,278,64,40,12,0,12,23.4,6.1,.248,.257,28.3,47.6,4.81,25.0
Gomes, Yan,543228,2023,419,102,70,20,2,10,19.3,5,.267,.262,24.2,52.5,4.64,26.2
Grossman, Robbie,543257,2023,420,84,50,23,1,10,23.3,13.6,.238,.224,20.1,38.1,4.36,27.8
Harrison, Josh,543281,2023,114,21,16,3,0,2,17.5,2.6,.204,.228,21.9,51.3,4.66,26.5
Hicks, Aaron,543305,2023,312,68,50,9,1,8,22.1,13.5,.253,.207,25.6,40.3,4.33,27.3
Higashioka, Kyle,543309,2023,260,57,34,13,0,10,28.5,5.4,.236,.242,28.6,49.5,4.81,25.6
Hosmer, Eric,543333,2023,100,22,17,3,0,2,25,6,.234,.203,23.6,52.1,4.6,25.0
McCann, James,543510,2023,226,46,26,14,0,6,25.2,4,.222,.262,31.4,54.2,4.76,26.1
Miller, Brad,543543,2023,67,12,7,4,0,1,16.4,14.9,.214,.228,22.4,39.9,4.56,25.9
Nola, Austin,543592,2023,154,19,15,3,0,1,20.1,11.7,.146,.200,15.3,39.3,4.77,26.2
Rendon, Anthony,543685,2023,183,35,27,6,0,2,14.8,13.7,.236,.264,17.9,39.6,4.62,26.5
Semien, Marcus,543760,2023,753,185,112,40,4,29,14.6,9.6,.276,.262,18,47.1,4.42,28.7
Springer III, George,543807,2023,683,158,111,25,1,21,18.3,8.8,.258,.264,22.3,49.3,4.41,27.8
Vázquez, Christian,543877,2023,355,73,54,13,0,6,23.1,7,.223,.226,26.2,48.7,4.78,25.0
Wong, Kolten,543939,2023,250,41,31,6,0,4,21.2,7.2,.183,.213,21.4,47.9,4.44,26.7
Vargas, Ildemaro,545121,2023,286,66,47,13,2,4,7,6.6,.252,.265,12.1,45.9,4.44,27.0
Grichuk, Randal,545341,2023,471,116,67,31,2,16,20.4,6.2,.267,.263,26.7,50.1,4.59,27.4
Marisnick, Jake,545350,2023,83,18,11,3,2,2,25.3,3.6,.237,.226,27.2,56.1,4.38,28.8
Trout, Mike,545361,2023,362,81,48,14,1,18,28.7,12.4,.263,.275,29.3,44.4,4.32,29.5
Harper, Bryce,547180,2023,546,134,83,29,1,21,21.8,14.7,.293,.290,33.2,51.4,4.42,27.6
Pérez, Roberto,547379,2023,17,2,2,0,0,0,35.3,11.8,.133,.209,29.4,44.2,,
Abreu, José,547989,2023,594,128,86,23,1,18,21.9,7.1,.237,.248,26.4,50.1,4.76,25.5
Díaz, Elias,553869,2023,526,130,90,25,1,14,22.4,6.5,.267,.245,28.4,54.8,4.8,25.0
Narváez, Omar,553882,2023,146,27,20,5,0,2,18.5,9.6,.211,.252,16.6,46,,24.4
Suárez, Eugenio,553993,2023,694,139,88,29,0,22,30.8,10.1,.232,.223,32.8,44.5,4.71,26.4
Urshela, Gio,570482,2023,228,64,53,8,1,2,15.8,4.4,.299,.259,18.8,54.8,4.44,26.2
Schoop, Jonathan,570731,2023,151,29,21,8,0,0,24.5,8.6,.213,.230,29.2,52.6,4.68,26.9
Arenado, Nolan,571448,2023,612,149,95,26,2,26,16.5,6.7,.266,.266,20.2,48.5,4.77,24.9
Barnhart, Tucker,571466,2023,123,22,18,3,0,1,34.1,9.8,.202,.177,24.9,47.1,5,23.2
Farmer, Kyle,571657,2023,369,86,59,14,2,11,23.3,6.2,.256,.252,23.2,47.7,4.58,26.5
Haniger, Mitch,571745,2023,229,44,24,13,1,6,28.4,6.6,.209,.242,27.8,45.8,4.59,26.7
Hernández, Enrique,571771,2023,508,110,76,23,0,11,19.1,6.7,.237,.224,23.6,46.7,4.59,26.9
Lamb, Jake,571875,2023,54,11,8,1,0,2,27.8,5.6,.216,.226,33.1,51.1,,25.1
Maile, Luke,571912,2023,199,42,26,10,0,6,24.6,7,.235,.234,25.7,44.6,4.67,26.0
Muncy, Max,571970,2023,579,102,48,17,1,36,26.4,14.7,.212,.235,29.6,39.3,4.51,26.9
