last_name, first_name,player_id,year,pa,walk,k_percent,batting_avg,xba,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
Colon, Bartolo,112526,2015,64,0,37.5,.138,.153,85.7,23.1,0,15.4,93.759828667,91.247927,28.7,58.1
Colon, Bartolo,112526,2016,65,1,61.5,.083,.071,82.9,20.8,0,16.7,92.769404444,91.325305882,42.7,44.4
Hunter, Torii,116338,2015,567,35,18.5,.240,.229,88.5,28.5,5,34.9,98.563404126,93.39348,23.1,53.4
Ortiz, David,120074,2015,614,77,15.5,.273,.301,93,34.8,13.1,49.1,102.85113274,96.053057671,23.2,44.7
Ortiz, David,120074,2016,626,80,13.7,.315,.312,93.2,39.3,15.5,47.2,103.045533739,96.143183874,19.3,43.5
Rodriguez, Alex,121347,2015,620,84,23.4,.250,.247,91.3,31.4,10.9,43.9,101.381141361,95.014380393,32,43.9
Rodriguez, Alex,121347,2016,243,14,27.6,.200,.217,89.8,25.5,7.5,38.5,100.783814125,94.587311938,29.6,49.1
Ramirez, Aramis,133380,2015,516,31,13.2,.246,.240,87.4,33.5,5.6,34.5,97.851255714,92.944762734,17.9,52.9
Beltré, Adrian,134181,2015,619,41,10.5,.287,.295,89.5,35.7,5.5,40.4,99.25269668,93.842412257,16.8,48.1
Beltré, Adrian,134181,2016,640,48,10.3,.300,.290,90.1,34.2,8.5,40.4,99.676160388,94.135210872,15.2,48.7
Beltré, Adrian,134181,2017,389,39,13.4,.312,.283,86.7,36.1,5.8,32.5,97.066970274,92.551073116,18.7,46.8
Beltré, Adrian,134181,2018,481,34,20,.273,.263,88.7,39.7,6.4,37.4,98.435139477,93.348635465,23.4,45.4
Beltrán, Carlos,136860,2015,531,45,16,.276,.274,90.6,34.1,5.8,41.9,100.406684388,94.465737033,18.1,45.4
Beltrán, Carlos,136860,2016,593,35,17,.295,.268,90.1,32.5,6.8,38.5,100.288108,94.247053333,19.6,45.6
Beltrán, Carlos,136860,2017,509,33,20,.231,.229,87.3,29.4,4.6,31,97.251447204,92.65384752,19.8,47.9
Werth, Jayson,150029,2015,378,38,22.2,.221,.246,90,35.2,7.9,40.7,100.894025317,94.619068367,24.2,37.9
Werth, Jayson,150029,2016,606,71,22.9,.244,.247,91.4,31.9,7.4,44.6,101.514039895,95.15487147,20.9,38.1
Werth, Jayson,150029,2017,289,35,23.9,.226,.237,88.1,33.2,8.2,40.7,99.99257989,94.104058462,21.9,38.6
Cuddyer, Michael,150212,2015,408,24,21.6,.259,.241,87.5,31.2,4.5,30.8,97.924347092,92.979832527,24.4,51.4
Pierzynski, A.J.,150229,2015,436,19,8.5,.300,.277,85.4,34.9,3.5,25.7,96.027045815,92.030875761,14.2,54.8
Pierzynski, A.J.,150229,2016,259,6,11.2,.219,.247,87.5,31.2,1.8,33.9,97.258158899,92.682177143,18.3,59
Burnett, A.J.,150359,2015,52,0,38.5,.119,.120,84.5,12.5,3.1,21.9,95.1421825,92.176098696,27.7,46.4
Bloomquist, Willie,217100,2015,72,2,18.1,.159,.196,86.7,26.8,1.8,16.1,93.403117037,90.774546981,19.8,52.5
Rollins, Jimmy,276519,2015,563,44,15.3,.224,.233,85.7,32.1,2.5,23.1,94.846070976,91.436044694,18.1,45
